date,kd
2016-01-01,0.12
2016-01-02,0.116
2016-01-03,0.116
2016-01-04,0.121
2016-01-05,0.132
2016-01-06,0.146
2016-01-07,0.147
2016-01-08,0.143
2016-01-09,0.141
2016-01-10,0.128
2016-01-11,0.13
2016-01-12,0.144
2016-01-13,0.136
2016-01-14,0.129
2016-01-15,0.136
2016-01-16,0.147
2016-01-17,0.138
2016-01-18,0.144
2016-01-19,0.137
2016-01-20,0.139
2016-01-21,0.135
2016-01-22,0.129
2016-01-23,0.133
2016-01-24,0.134
2016-01-25,0.137
2016-01-26,0.136
2016-01-27,0.138
2016-01-28,0.135
2016-01-29,0.135
2016-01-30,0.139
2016-01-31,0.147
2016-02-01,0.14
2016-02-02,0.144
2016-02-03,0.141
2016-02-04,0.138
2016-02-05,0.166
2016-02-06,0.166
2016-02-07,0.166
2016-02-08,0.171
2016-02-09,0.182
2016-02-10,0.182
2016-02-11,0.182
2016-02-12,0.182
2016-02-13,0.182
2016-02-14,0.182
2016-02-15,0.181
2016-02-16,0.182
2016-02-17,0.182
2016-02-18,0.188
2016-02-19,0.178
2016-02-20,0.171
2016-02-21,0.17
2016-02-22,0.162
2016-02-23,0.167
2016-02-24,0.174
2016-02-25,0.162
2016-02-26,0.172
2016-02-27,0.167
2016-02-28,0.169
2016-03-01,0.16
2016-03-02,0.152
2016-03-03,0.147
2016-03-04,0.159
2016-03-05,0.17
2016-03-06,0.162
2016-03-07,0.166
2016-03-08,0.158
2016-03-09,0.15
2016-03-10,0.137
2016-03-11,0.134
2016-03-12,0.124
2016-03-13,0.12
2016-03-14,0.12
2016-03-15,0.121
2016-03-16,0.122
2016-03-17,0.126
2016-03-18,0.125
2016-03-19,0.124
2016-03-20,0.128
2016-03-21,0.129
2016-03-22,0.135
2016-03-23,0.139
2016-03-24,0.14
2016-03-25,0.143
2016-03-26,0.139
2016-03-27,0.139
2016-03-28,0.145
2016-03-29,0.145
2016-03-30,0.148
2016-03-31,0.148
2016-04-01,0.146
2016-04-02,0.142
2016-04-03,0.152
2016-04-04,0.134
2016-04-05,0.132
2016-04-06,0.149
2016-04-07,0.147
2016-04-08,0.149
2016-04-09,0.154
2016-04-10,0.134
2016-04-11,0.137
2016-04-12,0.159
2016-04-13,0.134
2016-04-14,0.129
2016-04-15,0.124
2016-04-16,0.13
2016-04-17,0.124
2016-04-18,0.132
2016-04-19,0.119
2016-04-20,0.139
2016-04-21,0.139
2016-04-22,0.127
2016-04-23,0.138
2016-04-24,0.122
2016-04-25,0.116
2016-04-26,0.121
2016-04-27,0.121
2016-04-28,0.139
2016-04-29,0.152
2016-04-30,0.152
2016-05-01,0.131
2016-05-02,0.136
2016-05-03,0.131
2016-05-04,0.159
2016-05-05,0.188
2016-05-06,0.141
2016-05-07,0.141
2016-05-08,0.141
2016-05-09,0.141
2016-05-10,0.146
2016-05-11,0.139
2016-05-12,0.141
2016-05-13,0.12
2016-05-14,0.141
2016-05-15,0.141
2016-05-16,0.15
2016-05-17,0.142
2016-05-18,0.135
2016-05-19,0.138
2016-05-20,0.138
2016-05-21,0.154
2016-05-22,0.15
2016-05-23,0.144
2016-05-24,0.147
2016-05-25,0.158
2016-05-26,0.16
2016-05-27,0.16
2016-05-28,0.16
2016-05-29,0.166
2016-05-30,0.16
2016-05-31,0.161
2016-06-01,0.161
2016-06-02,0.159
2016-06-03,0.163
2016-06-04,0.165
2016-06-05,0.167
2016-06-06,0.173
2016-06-07,0.169
2016-06-08,0.165
2016-06-09,0.163
2016-06-10,0.175
2016-06-11,0.172
2016-06-12,0.172
2016-06-13,0.183
2016-06-14,0.18
2016-06-15,0.177
2016-06-16,0.177
2016-06-17,0.181
2016-06-18,0.19
2016-06-19,0.183
2016-06-20,0.181
2016-06-21,0.187
2016-06-22,0.185
2016-06-23,0.186
2016-06-24,0.186
2016-06-25,0.182
2016-06-26,0.187
2016-06-27,0.184
2016-06-28,0.18
2016-06-29,0.18
2016-06-30,0.182
2016-07-01,0.181
2016-07-02,0.184
2016-07-03,0.18
2016-07-04,0.18
2016-07-05,0.181
2016-07-06,0.178
2016-07-07,0.179
2016-07-08,0.173
2016-07-09,0.176
2016-07-10,0.172
2016-07-11,0.176
2016-07-12,0.171
2016-07-13,0.167
2016-07-14,0.17
2016-07-15,0.165
2016-07-16,0.18
2016-07-17,0.168
2016-07-18,0.171
2016-07-19,0.162
2016-07-20,0.156
2016-07-21,0.163
2016-07-22,0.156
2016-07-23,0.157
2016-07-24,0.151
2016-07-25,0.156
2016-07-26,0.151
2016-07-27,0.152
2016-07-28,0.154
2016-07-29,0.145
2016-07-30,0.153
2016-07-31,0.156
2016-08-01,0.152
2016-08-02,0.148
2016-08-03,0.149
2016-08-04,0.153
2016-08-05,0.146
2016-08-06,0.146
2016-08-07,0.141
2016-08-08,0.143
2016-08-09,0.145
2016-08-10,0.143
2016-08-11,0.18
2016-08-12,0.18
2016-08-13,0.18
2016-08-14,0.18
2016-08-15,0.18
2016-08-16,0.18
2016-08-17,0.18
2016-08-18,0.18
2016-08-19,0.18
2016-08-20,0.18
2016-08-21,0.18
2016-08-22,0.18
2016-08-23,0.18
2016-08-24,0.219
2016-08-25,0.188
2016-08-26,0.19
2016-08-27,0.209
2016-08-28,0.198
2016-08-29,0.208
2016-08-30,0.201
2016-08-31,0.204
2016-09-01,0.203
2016-09-02,0.205
2016-09-03,0.203
2016-09-04,0.199
2016-09-05,0.19
2016-09-06,0.176
2016-09-07,0.178
2016-09-08,0.174
2016-09-09,0.175
2016-09-10,0.19
2016-09-11,0.184
2016-09-12,0.205
2016-09-13,0.227
2016-09-14,0.244
2016-09-15,0.218
2016-09-16,0.225
2016-09-17,0.22
2016-09-18,0.214
2016-09-19,0.212
2016-09-20,0.208
2016-09-21,0.201
2016-09-22,0.197
2016-09-23,0.2
2016-09-24,0.198
2016-09-25,0.2
2016-09-26,0.198
2016-09-27,0.188
2016-09-28,0.189
2016-09-29,0.187
2016-09-30,0.184
2016-10-01,0.187
2016-10-02,0.177
2016-10-03,0.171
2016-10-04,0.178
2016-10-05,0.178
